
Japan,#genre#
彩虹e,mitv://ns2.hellotvvod.com:9906/94c57d70e6a542e58226e0ab34f32082
彩虹e,mitv://ns2.hellotvvod.com:9906/abf66e1926ce4018b7b059016c3e2d9b.ts
彩虹電影,mitv://ns2.hellotvvod.com:9906/652eaae198354a7eaee4de4e83241c22
彩虹電影,mitv://ns2.hellotvvod.com:9906/d4c614b8b1e9426a858fb8331d47f4a4.ts
松視1,mitv://ns2.hellotvvod.com:9906/6a1d4bb966874f598cc453df234ae44f
松視1,mitv://ns2.hellotvvod.com:9906/2b2051e6c8a24f18a0ec7ca6f41ca840.ts
松視2,mitv://ns2.hellotvvod.com:9906/cc116ed3044f4941aea23c942fef7406
松視2,mitv://ns2.hellotvvod.com:9906/b5eb6088e0bb4aa692bf7209bcf0c4b1.ts
松視3,mitv://ns2.hellotvvod.com:9906/034caef8cf944c6e88398bde3576fecc
松視3,mitv://ns2.hellotvvod.com:9906/7cda1cc3c22944f5be2d5cad8b44340d.ts
潘朵啦玩美臺,mitv://ns2.hellotvvod.com:9906/93a3328f3bfe4a82963d8c3584ede02a
潘朵啦玩美臺,mitv://ns2.hellotvvod.com:9906/22366d1ff0e64c5b870ff01b7e4bb8d4.ts
潘朵啦粉紅臺,mitv://ns2.hellotvvod.com:9906/5308670d6df54b1ebd9d0642f389e269
潘朵啦粉紅臺,mitv://ns2.hellotvvod.com:9906/6ffed66679ef45d9810f116e785a2a53.ts
LOOK TV,mitv://ns2.hellotvvod.com:9906/2a8c2699d7294d3ab670a9287bc20bc6
LOOK TV,mitv://ns2.hellotvvod.com:9906/e94eb5756d7a42b3adf338b1a4a5344a.ts
驚艷成人電影,mitv://ns2.hellotvvod.com:9906/ad86969137014a8c81684ed690c41b08
驚艷成人電影,mitv://ns2.hellotvvod.com:9906/bcfdd9d57f1544dcaa10e84a2f239f19.ts
Playboy,mitv://ns2.hellotvvod.com:9906/8318778f77a1460797911ecacc214b92
Playboy,http://spacetv.in/stream/DKQ6M3GWVG1/56.m3u8
香蕉臺,mitv://ns2.hellotvvod.com:9906/84e8a4a58f91482abe98cdd513dbe6a8
香蕉臺,http://125.227.210.37:11055/VideoInput/play.ts 
香蕉臺,http://125.227.210.55:11055/VideoInput/play.ts 
香蕉臺,mitv://ns2.hellotvvod.com:9906/7264623a28ba4b498d0d0c5b08154c28.ts
HOT,mitv://ns2.hellotvvod.com:9906/bc89924c45ce47c8a6f1f9e8ba460d11
HOT,mitv://ns2.hellotvvod.com:9906/88652a8699964209acf41b25e2c15094.ts
HAPPY,mitv://ns2.hellotvvod.com:9906/4f208bff963b442cafe9a71efc892105
HAPPY,mitv://ns2.hellotvvod.com:9906/bb9503e2799342cfbc406a8ee2783367.ts
K,mitv://ns2.hellotvvod.com:9906/e0693c0fb4b5478b85b8fa720a683048
K,mitv://ns2.hellotvvod.com:9906/04538c5c882f4f34b22ae5342aa666b7.ts
JStar極限,mitv://ns2.hellotvvod.com:9906/47b422bd6c57400484fa154649963af0.ts
JStar極限,http://125.227.210.37:19020/VideoInput/play.ts 
Aldult-1,http://125.227.210.55:9051/VideoInput/play.ts 
Aldult-2,http://125.227.210.55:9053/VideoInput/play.ts 
Aldult-3,http://125.227.210.55:9054/VideoInput/play.ts 
Aldult-4,http://125.227.210.55:9055/VideoInput/play.ts 
Aldult-5,http://125.227.210.55:9062/VideoInput/play.ts 
成人6,http://125.227.210.37:14583/VideoInput/play.ts 
成人6,http://125.227.210.55:14583/VideoInput/play.ts 
成人7,http://125.227.210.37:18685/VideoInput/play.ts 
成人7,http://125.227.210.55:18685/VideoInput/play.ts 
成人電影臺,http://125.227.210.37:18789/VideoInput/play.ts 
成人電影臺,http://125.227.210.55:18789/VideoInput/play.ts 
NHKWorld,http://125.227.210.37:8931/VideoInput/play.ts 
##

Musume,#genre#
10musume-053017_01   森ま�?,http://videocdn.quweikm.com:8091/20181101/hd_10musume-053017_01/index.m3u8
10musume-060617_01   看護�? 岸あやね,http://videocdn.quweikm.com:8091/20181101/hd_10musume-060617_01/index.m3u8
10musume-061017_01   制服時代 �? 朝比奈みなみ,http://videocdn.quweikm.com:8091/20181101/hd_10musume-061017_01/index.m3u8
10musume-061517_01   宮前こと�?,http://videocdn.quweikm.com:8091/20181101/hd_10musume-061517_01/index.m3u8
10musume-061717_01 倉田麻紀,http://videocdn.quweikm.com:8091/20181101/hd_10musume-061717_01/index.m3u8
10musume-062017_01   主人�? 門倉めぐみ,http://videocdn.quweikm.com:8091/20181101/hd_10musume-062017_01/index.m3u8
10musume-062417_01   素人の仕�? �? 立花里奈,http://videocdn.quweikm.com:8091/20181101/hd_10musume-062417_01/index.m3u8
10musume-062917_01    制服時代 �? 楠木真奈�?,http://videocdn.quweikm.com:8091/20181101/hd_10musume-062917_01/index.m3u8
10musume-070117_01   中村ひか�?,http://videocdn.quweikm.com:8091/20181101/hd_10musume-070117_01/index.m3u8
10musume-070817_01   浴衣 飯田久実�?,http://videocdn.quweikm.com:8091/20181101/hd_10musume-070817_01/index.m3u8
10musume-071117_01  素人AV面接 �? 滝川ちさ,http://videocdn.quweikm.com:8091/20181101/hd_10musume-071117_01/index.m3u8
